league,division,city,nickname,abbrev,color,arena_city,state,arena,capacity
prep,1,Saskatoon,Berries,SAS,#6B2D5C,Saskatoon,SK,The Berry Patch,2600
prep,1,Wetaskiwin,Dealers,WET,#C9A227,Wetaskiwin,AB,The Lot,2400
prep,1,Pierre,Stones,PIE,#5C6672,Pierre,SD,Stonehouse Court,2300
prep,1,Lincoln,Rails,LIN,#1B3A2F,Lincoln,NE,Railyard Fieldhouse,3000
prep,2,Montreal,Royals,MTL,#1F4E9C,Montreal,QC,The Royal Forum,3500
prep,2,Albany,Tulips,ALB,#C0397A,Albany,NY,Tulip Garden,2800
prep,2,Quahog,Clams,QUA,#2E8B93,Quahog,RI,The Clam Shell,3000
prep,2,Rendville,Miners,REN,#3A3A3A,Rendville,OH,Miners Hall,2100
prep,3,Louisville,Sluggers,LOU,#8B1E26,Louisville,KY,Slugger Fieldhouse,3200
prep,3,Memphis,Kings,MEM,#4B2E83,Memphis,TN,Beale Street Arena,3400
prep,3,Little Rock,Boulders,LIT,#7A6A53,Little Rock,AR,The Quarry,2700
prep,3,Jackson,Generals,JAC,#2F4F4F,Jackson,MS,Generals Armory,2500
prep,4,Dallas,Derricks,DAL,#0F5132,Dallas,TX,Derrick Dome,3600
prep,4,Jerusalem,Lions,JER,#D4A017,Jerusalem,ISR,Lions Gate Arena,3100
prep,4,Ariel,Spirits,ARI,#5A8FBF,Ariel,ISR,Spirit Hall,2600
prep,4,Fleming,Spies,FLE,#1C1C2E,Fleming,CO,The Safehouse,2200
college,1,Moose Jaw,Mandibles,MJW,#6B3FA0,Moose Jaw,SK,The Jawbone,8200
college,1,Flin Flon,Prospectors,FLN,#C07F00,Flin Flon,MB,The Claim,7400
college,1,Come By Chance,Longshots,CBC,#1F6F8B,Come By Chance,NL,The Long Shot,6800
college,1,Sheboygan,Brats,SHB,#B5651D,Sheboygan,WI,The Casing,9100
college,2,Hell,Hounds,HEL,#8B0000,Hell,MI,The Furnace,9600
college,2,Ypsilanti,Towers,YPS,#2E4057,Ypsilanti,MI,Tower Hall,8400
college,2,Kalamazoo,Kazoos,KZO,#E0A800,Kalamazoo,MI,The Kazoo Dome,8900
college,2,Punxsutawney,Groundhogs,PNX,#4A3B2A,Punxsutawney,PA,Gobbler's Knob,7700
college,3,Toad Suck,Toads,TDS,#4F7942,Toad Suck,AR,The Lily Pad,6600
college,3,Two Egg,Yolks,TEG,#F2C12E,Two Egg,FL,The Carton,6200
college,3,Bird-in-Hand,Buggies,BIH,#2B2B2B,Bird-in-Hand,PA,The Buggy Barn,7100
college,3,Accident,Wrecks,ACC,#A63D40,Accident,MD,The Fender,6400
college,4,Boring,Snoozers,BOR,#8A9BA8,Boring,OR,The Waiting Room,6000
college,4,Walla Walla,Onions,WWA,#C9B037,Walla Walla,WA,The Bulb,7900
college,4,Zzyzx,Mirage,ZZX,#5A9BD4,Zzyzx,CA,The Oasis,6900
college,4,Chicken,Nuggets,CHK,#D98C00,Chicken,AK,The Coop,5800
pro,1,Medicine Hat,Hatters,MHT,#7B3F9E,Medicine Hat,AB,The Hatbox,17400
pro,1,Yellowknife,Blades,YKN,#C8A800,Yellowknife,NT,The Whetstone,16800
pro,1,Moose Factory,Assembly,MFA,#4A6741,Moose Factory,ON,The Assembly Line,17100
pro,1,Dog River,Hounds,DRV,#8C6239,Dog River,SK,The Kennel,16200
pro,1,Embarrass,Blush,EMB,#C05C79,Embarrass,MN,The Red Face,16500
pro,2,Normal,Standards,NRM,#5C6672,Normal,IL,The Baseline,18300
pro,2,Peculiar,Oddities,PEC,#6A4C93,Peculiar,MO,The Curio,17600
pro,2,Frankenstein,Monsters,FRK,#3E6B3E,Frankenstein,MO,The Laboratory,18900
pro,2,Santa Claus,Reindeer,SCL,#B3151F,Santa Claus,IN,The Workshop,18100
pro,2,Gnaw Bone,Marrow,GNB,#8B7355,Gnaw Bone,IN,The Bone Yard,16700
pro,3,Hot Coffee,Percolators,HCF,#5B3A1E,Hot Coffee,MS,The Percolator,17200
pro,3,Monkey's Eyebrow,Monkeys,MEB,#A0703C,Monkey's Eyebrow,KY,The Canopy,16400
pro,3,Nameless,Unknowns,NML,#4D4D4D,Nameless,TN,The Blank,16900
pro,3,Cut and Shoot,Pistols,CAS,#8B1A1A,Cut and Shoot,TX,The Holster,18600
pro,3,Ding Dong,Bells,DDG,#D4A017,Ding Dong,TX,The Belfry,17800
pro,4,Truth or Consequences,Consequences,TOC,#1F6F8B,Truth or Consequences,NM,The Reckoning,17300
pro,4,Why,Nots,WHY,#7A9E7E,Why,AZ,The Question Mark,16100
pro,4,Mexican Hat,Sombreros,MXH,#E07A00,Mexican Hat,UT,The Brim,16600
pro,4,Eek,Shrieks,EEK,#2F4F6F,Eek,AK,The Echo,15900
pro,4,Batman,Bats,BTM,#2B2B3B,Batman,TUR,The Cave,19400
